#,,,This the actual injection volume on the column,,,,Relic from BMIS for pooled full and half,A dilution factor of 2 is a 1 to 1 dilution of sample to water
Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Inj.vol,Dilution.Factor
190715_Blk_Blk_65,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD10D125_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD10D25_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_66,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD15D225_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD10D125_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_67,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD2D1000_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD10D75_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_68,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD2D770_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD21D3000_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_69,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD21D2000_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1910S2CTD2D1000_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
